DV_ENC,2018,4,326.65
DV_ENC,2019,1,330.4
DV_ENC,2019,2,336.54
DV_ENC,2019,3,340.84
DV_ENC,2019,4,343.36
DV_ENC,2020,1,346.77
DV_ENC,2020,2,349.76
DV_ENC,2020,3,356.55
DV_ENC,2020,4,363.79
DV_ENC,2021,1,369.94
DV_ENC,2021,2,389.26
DV_ENC,2021,3,407.68
DV_ENC,2021,4,417.42
DV_ESC,1975,1,69.3
DV_ESC,1975,2,68.76
DV_ESC,1975,3,69.44
DV_ESC,1975,4,70.17
DV_ESC,1976,1,71.56
DV_ESC,1976,2,70.45
DV_ESC,1976,3,71.82
DV_ESC,1976,4,74.54
DV_ESC,1977,1,74.87
DV_ESC,1977,2,77.51
DV_ESC,1977,3,79.91
DV_ESC,1977,4,82.49
DV_ESC,1978,1,84.84
DV_ESC,1978,2,85.27
DV_ESC,1978,3,90.53
DV_ESC,1978,4,91.97
DV_ESC,1979,1,95.31
DV_ESC,1979,2,96.82
DV_ESC,1979,3,99.36
DV_ESC,1979,4,99.32
DV_ESC,1980,1,100
DV_ESC,1980,2,100.6
DV_ESC,1980,3,103.52
DV_ESC,1980,4,104.45
DV_ESC,1981,1,101.21
DV_ESC,1981,2,108.95
DV_ESC,1981,3,108.59
DV_ESC,1981,4,101.36
DV_ESC,1982,1,107.19
DV_ESC,1982,2,104.66
DV_ESC,1982,3,107.35
DV_ESC,1982,4,109.37
DV_ESC,1983,1,112.44
DV_ESC,1983,2,112.81
DV_ESC,1983,3,113.69
DV_ESC,1983,4,114.04
DV_ESC,1984,1,116.94
DV_ESC,1984,2,117.07
DV_ESC,1984,3,116.28
DV_ESC,1984,4,118.81
DV_ESC,1985,1,120.88
DV_ESC,1985,2,122.65
DV_ESC,1985,3,124.11
DV_ESC,1985,4,125.41
DV_ESC,1986,1,127.23
DV_ESC,1986,2,129.36
DV_ESC,1986,3,130.17
DV_ESC,1986,4,132.26
DV_ESC,1987,1,134.55
DV_ESC,1987,2,135.92
DV_ESC,1987,3,136.59
DV_ESC,1987,4,136.72
DV_ESC,1988,1,138.43
DV_ESC,1988,2,139.56
DV_ESC,1988,3,139.64
DV_ESC,1988,4,139.88
DV_ESC,1989,1,139.75
DV_ESC,1989,2,141.58
DV_ESC,1989,3,143.51
DV_ESC,1989,4,143.75
DV_ESC,1990,1,144.06
DV_ESC,1990,2,144.26
DV_ESC,1990,3,144.86
DV_ESC,1990,4,144.43
DV_ESC,1991,1,146.26
DV_ESC,1991,2,147.13
DV_ESC,1991,3,147.72
DV_ESC,1991,4,150.24
DV_ESC,1992,1,151.57
DV_ESC,1992,2,151.8
DV_ESC,1992,3,154.33
DV_ESC,1992,4,155.02
DV_ESC,1993,1,155.82
DV_ESC,1993,2,157.84
DV_ESC,1993,3,159.89
DV_ESC,1993,4,161.45
DV_ESC,1994,1,163.37
DV_ESC,1994,2,166.04
DV_ESC,1994,3,167.67
DV_ESC,1994,4,169
DV_ESC,1995,1,170.69
DV_ESC,1995,2,173.94
DV_ESC,1995,3,176.55
DV_ESC,1995,4,178.48
DV_ESC,1996,1,180.94
DV_ESC,1996,2,182.03
DV_ESC,1996,3,183.82
DV_ESC,1996,4,185.56
DV_ESC,1997,1,187.71
DV_ESC,1997,2,189.04
DV_ESC,1997,3,191.59
DV_ESC,1997,4,194.17
DV_ESC,1998,1,196.96
DV_ESC,1998,2,198.89
DV_ESC,1998,3,201.17
DV_ESC,1998,4,203.56
DV_ESC,1999,1,205.25
DV_ESC,1999,2,206.63
DV_ESC,1999,3,207.74
