"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"51","Virginia",2011,8096604,3978779,259358,256879,271506,164576,121611,70158,61529,168100,284040,271532,256840,290358,296897,291410,247883,98802,129578,64022,92094,111546,77199,53985,38876,4117825,249058,258293,244732,148691,119131,57207,61860,165071,276334,270990,263930,297009,309625,304613,270483,103337,144848,69896,103440,131126,98704,78055,91392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2011,6830038,3408061,226385,221695,224787,136361,92762,51478,51962,147658,252359,242077,224846,236254,239311,247013,224515,83816,118969,58802,81390,92564,64722,45953,42382,3421977,212962,208030,219436,130586,90787,47416,47488,136819,234203,231033,219398,233525,238352,249278,233950,85214,128070,63045,84769,103207,80761,65935,77713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2011,1855364,914474,54191,54595,55777,34782,26232,14006,12618,36840,52397,57031,57026,60394,64028,69014,67526,27915,38187,19796,25855,33581,24729,16277,11677,940890,49957,51191,53595,32743,26141,12929,13449,32120,53134,55343,55538,60834,64175,71436,73197,27470,38236,22449,27907,37075,30254,26203,25514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wisconsin",2011,5711767,2835132,179165,184650,195054,119066,85019,43403,42261,113659,186423,186117,169073,188942,210991,220203,194302,69881,101567,47708,65471,82799,63647,48101,37630,2876635,170035,178662,185644,112124,83494,44617,39818,103723,181384,177290,165926,185307,211535,220822,199167,70745,99484,47149,74197,93497,81089,71269,79657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wyoming",2011,568158,289416,19937,17443,21415,10534,9766,3609,4916,12965,21754,19659,18125,15905,18711,22055,22475,7446,9378,5635,6299,8286,6324,4242,2537,278742,19085,18087,17610,10980,7488,4320,3678,10717,19111,18794,15948,16619,17966,21912,21907,6374,9440,5012,7769,8067,7905,4974,4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico",2011,3706690,1770224,109033,115621,136877,83368,58063,32813,29528,74524,111182,115948,110168,122061,113353,110304,98571,40909,61917,35916,47619,63891,42052,31897,24609,1936466,107759,112159,128595,83083,60130,26590,28709,76323,118709,125778,121121,128748,131281,128198,121211,47141,71843,42770,58480,77552,58811,41337,40138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01","Alabama",2012,4822023,2336291,154902,158765,163731,97673,73658,36883,40183,96152,148583,145284,141085,160895,158657,167200,156068,56590,79963,50030,59482,75961,54229,35269,25048,2485732,146906,154067,157592,91339,69110,37248,39243,94925,157065,157911,150673,163767,166704,177657,168578,63298,89309,54512,68072,96418,72305,53866,55167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","Alaska",2012,731449,381094,27593,27033,26425,15899,12008,5837,7258,19766,29302,26971,23170,26692,25950,28235,27093,10458,11647,6585,5086,8692,4633,2896,1865,350355,26341,25172,24487,14315,7820,5608,5844,15449,28378,24680,22082,23838,23454,26336,25343,8916,9930,5141,5859,8991,4676,3748,3947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","Arizona",2012,6553255,3260687,223705,236024,230633,138579,93580,52451,51576,142091,228596,222080,204262,215022,203990,209605,186535,72980,104750,69244,78041,116759,81120,55764,43300,3292568,214067,218351,227456,130770,87001,44722,51581,130204,213084,212154,194078,217222,205784,217905,207123,79089,115119,74691,93554,126672,89727,71149,71065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","Arkansas",2012,2949131,1449265,99007,105750,103149,59618,41556,22402,23326,59553,94436,94135,91091,91823,94611,100500,91813,35403,47169,32358,34728,51736,35832,23109,16160,1499866,92649,99763,94845,56848,40105,23594,22324,55260,96970,93872,88880,97131,98276,102469,101878,35213,52605,32762,41061,60241,44581,33521,35018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","California",2012,38041430,18917773,1296287,1296812,1306123,825862,569900,316738,318160,878262,1442237,1370890,1283750,1315810,1303995,1297026,1134000,399843,543621,313722,376847,488268,344502,265634,229484,19123657,1240523,1239678,1245997,788024,535046,299727,289211,815296,1342594,1318597,1255875,1319753,1305554,1321317,1197466,434549,593514,363289,428927,566101,438415,363760,420444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","Colorado",2012,5187582,2601370,172562,187549,168057,100405,77113,38793,39785,109601,196863,197272,180634,183123,175323,185606,170039,60829,83965,47846,56958,66225,47983,29865,24974,2586212,164433,172087,170502,95712,69187,34399,36106,106637,181379,181050,169107,175868,175104,189634,181973,61212,84734,52677,62274,72176,57382,44129,48450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Delaware",2012,917092,444691,28446,28624,29963,17597,13530,8158,7982,17374,29294,27464,24639,28979,31662,33354,28800,9861,16610,8478,12255,17235,11465,7299,5622,472401,27739,28419,27153,16979,14294,7911,6567,17744,29398,27692,29703,28900,33779,34920,34933,11235,16576,11669,13830,17508,14131,9900,11421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","District of Columbia",2012,632323,299036,19889,15317,11832,7946,10100,5739,5384,17154,34059,30707,21816,21225,19092,18773,17297,5931,7730,4285,5198,8155,5277,3466,2664,333287,19113,15075,12042,8238,13531,6566,5753,19113,41099,33013,22711,19844,18826,18937,17514,7569,11487,5157,7723,9337,8164,5594,6881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","Connecticut",2012,3590347,1749806,99546,111455,119297,75376,55962,24703,25448,69139,110732,105644,103123,119603,136887,140454,123944,41747,60282,34460,43584,52403,37565,30458,27994,1840541,93524,104747,116104,72717,53246,25929,22923,62253,106989,109244,104118,131197,142752,146960,131062,45462,65754,42278,48253,60806,52806,43442,57975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Florida",2012,19317568,9441001,545488,568554,569454,356110,254907,143952,147989,380164,614564,583912,572861,626045,671206,673471,612794,228844,320981,213860,279994,392284,286483,215044,182040,9876567,524857,542691,549967,343852,238304,137632,138724,371176,597248,585293,576803,633095,685668,709522,665841,263344,373428,250181,313930,448833,347864,272460,305854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Georgia",2012,9919945,4851053,341922,366006,359456,208737,157606,78537,73966,213701,334209,334138,319383,356443,349133,330683,294973,97197,145372,87537,100150,128549,83499,54436,35420,5068892,329183,336751,356511,197181,147145,75633,70182,203590,334621,346933,343320,373414,358016,350021,317055,116404,163167,94948,120573,152154,109955,88582,83553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Idaho",2012,1595728,798712,58069,61468,64211,33691,23423,10959,12547,33157,54757,53371,53108,46715,48383,50973,47411,19923,28432,15698,20367,24183,18248,10229,9389,797016,55667,57088,59704,34854,21826,11233,12141,32904,51800,50501,47193,49423,49659,53260,49511,19374,27960,16276,20997,25494,19537,13658,16956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Hawaii",2012,1392313,701196,45753,44156,41115,24306,18467,11399,12448,33162,55834,50089,44464,44239,44985,47933,45315,20638,23536,14156,19240,20533,15190,10392,13846,691117,43260,39318,41092,23881,15558,9155,7315,29647,47527,45858,43037,43402,44763,48017,47127,18809,26285,13592,20312,24108,18285,17549,23220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Illinois",2012,12875255,6316653,415426,426863,448301,273180,187064,94547,96959,261639,451382,443210,412239,433715,441475,457416,405948,145238,199455,113265,137086,177956,123251,93335,77703,6558602,398601,415397,426021,259262,173718,87355,95454,256573,443756,443740,413810,440015,450098,475874,434653,159944,211215,127877,157767,212078,168154,141433,165807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Indiana",2012,6537334,3217145,216539,223661,234675,139823,96725,50538,53804,139268,205266,211453,192679,216830,222137,235947,213130,79771,100976,59668,70294,100707,65410,47779,40065,3320189,207618,216691,219227,131185,94722,50480,53371,130062,207086,207435,196885,216086,224499,240976,222771,84806,110786,65368,83255,113594,92466,73404,77416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Iowa",2012,3074186,1524107,99826,99995,108733,62094,44030,28083,25411,63723,99553,98615,87558,94522,100080,112612,103163,40402,52486,32178,33234,48461,37813,27673,23862,1550079,96171,101968,95174,58705,45835,23863,20858,62724,93983,97480,89168,89196,99746,111759,104069,42034,50949,31390,39407,55519,50552,38958,50571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Kansas",2012,2885905,1434617,102507,103556,101425,59694,46720,25481,23662,61728,100887,95556,85110,90202,93564,100079,94684,32900,44444,26178,32573,39955,28490,23982,21240,1451288,98911,98998,99236,56950,44429,21234,22457,55693,93506,93100,81844,87884,93274,103393,97411,34740,46422,29015,34959,44803,39714,33966,39349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Kentucky",2012,4380415,2154939,140587,144129,149225,88324,61115,35495,37160,84834,137429,144037,137632,147246,151626,157865,146556,50192,76001,46113,52764,67018,46253,31435,21903,2225476,136086,136575,142892,80161,59698,29630,34278,84765,137715,142569,133622,149249,154784,164071,153685,58475,79081,47864,61059,80237,63936,45171,49873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Louisiana",2012,4601893,2248888,154816,160431,161763,92842,67600,38399,36266,97492,163595,157481,139730,139864,148623,161750,144227,53518,73656,45810,47806,65272,44163,29486,24298,2353005,154464,147331,159556,87921,66506,34525,33899,101477,165922,157937,138956,146613,153862,168579,161086,53465,79991,45625,57357,81628,59955,50054,46296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Maine",2012,1329192,650714,34042,40740,37014,25351,19070,7655,8760,23150,36475,36693,34823,44510,48240,54831,53243,18189,26787,17234,18927,24124,17034,13896,9926,678478,32148,36152,37274,23266,17827,9398,8922,21406,36657,37526,38096,44290,50730,56219,54981,20425,28329,16613,20110,28327,22717,17598,19467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maryland",2012,5884563,2849291,185624,194000,186127,118250,85171,42379,44797,120311,201600,193287,172557,202039,212304,216893,185725,70431,91792,51382,66208,79506,51174,41564,36170,3035272,179001,181963,184106,113864,77267,40592,42859,116117,203838,202901,189136,212230,230721,234958,203779,81092,104171,64068,71991,96771,74133,60231,69483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Massachusetts",2012,6646144,3219753,186715,193392,206391,129057,106346,53376,51891,132179,229530,209625,192609,225845,242773,246569,217737,80087,108722,63611,77082,95634,67390,55027,48165,3426391,177144,185533,198829,124194,109726,55375,53072,126315,232886,214675,195508,243033,254769,258615,238676,85424,118495,72496,86609,114237,89730,80000,111050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Michigan",2012,9883360,4851429,292588,316554,338507,214197,147065,81784,75683,201102,296755,290251,279365,328985,346069,371912,344523,127417,169473,102460,122151,150475,107577,79465,67071,5031931,279057,301964,323772,200984,138683,79167,77848,193387,290462,294821,285110,331926,353911,385136,367584,133064,181631,109478,133631,176896,138680,118575,136164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Minnesota",2012,5379139,2670741,176324,186104,179835,110629,73611,33252,38671,108094,186416,187559,163125,176845,189697,202068,184407,65361,86177,47234,61438,78158,56440,41780,37516,2708398,171257,179507,170683,103461,73275,35753,38170,99769,180941,182520,158073,173183,189360,205485,181713,67714,90190,51559,62691,90960,70721,56988,74425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2012,2984926,1442072,100474,106248,108945,63699,52996,27281,24208,58932,87502,93934,88831,95802,91899,97821,93180,31902,47237,28898,33492,44618,30930,18885,14358,1542854,101922,103948,103410,59023,49200,23571,28063,61038,94920,98173,92131,98286,100404,106576,100030,37344,53272,30688,38648,55554,40859,32151,33643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Missouri",2012,6021988,2953591,192469,204609,202876,122621,88830,48707,43632,120218,199512,194863,175178,188237,200818,220573,196408,72356,96554,57587,74713,96691,69353,47268,39518,3068397,182122,189668,193605,115736,83522,45965,44185,119582,198054,197809,170048,198072,206380,227395,213384,73459,110216,66283,80353,112974,87386,74370,77829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Montana",2012,1005141,503458,29985,35246,28376,19195,14289,8215,7715,20574,32185,31319,28437,30029,31146,38478,39063,15513,19108,11460,14677,19129,12923,9148,7248,501683,28854,30926,30067,17491,12230,9404,6460,19344,30216,30230,29042,27086,31959,39684,39466,15793,19431,11532,14554,18420,15208,10063,14223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nebraska",2012,1855525,923099,68703,68716,62621,38266,26355,13553,12557,42402,63866,63250,59057,53863,59250,65354,61046,23569,28038,18177,21126,24187,20124,15628,13391,932426,63298,63698,63203,34297,27034,13276,13701,36937,62061,60086,54880,55195,59350,66327,60653,23229,30862,16256,22129,30909,26718,21930,26397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nevada",2012,2758931,1391864,94224,97127,93590,57020,35190,19342,20787,54902,101062,100610,91954,101983,97885,94510,86225,30395,45418,28059,34038,46161,28642,20885,11855,1367067,88688,89296,91439,53038,30546,18549,19714,54837,95576,96756,89478,97124,91929,91291,91535,32590,44835,31230,36793,45696,31137,22976,22014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","New Hampshire",2012,1320718,648288,32945,37519,41695,26933,18972,9164,9933,24428,39209,35689,37913,46171,52325,56007,50103,17325,25125,14524,17485,21054,14779,10021,8969,672430,32561,36495,41473,25401,21825,11940,9069,20482,36749,36408,38496,46303,53919,57333,51731,19226,25754,15093,17419,24048,17905,16622,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Jersey",2012,8864590,4321436,267962,281431,301316,183583,116887,60316,62216,169531,282826,283124,273956,315942,332201,335118,284374,106716,137442,84433,96440,126777,89733,70948,58164,4543154,258625,274535,283868,175418,112026,56407,51035,160082,275457,287159,285324,323343,348622,351828,307741,116481,151384,99267,113158,152608,122065,109738,126983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2012,2085538,1034877,73089,77581,70566,43534,32445,15413,13844,45703,74687,66203,62823,62170,63569,71569,63797,27857,36393,22109,25512,32330,23790,15906,13987,1050661,69947,71707,68434,40990,33362,13020,15996,39577,68661,65328,61721,61404,66869,74603,74245,26514,37659,22663,30361,36009,29270,20359,21962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
