"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"13","Georgia",2010,9712587,4742754,346660,360826,352010,217627,152699,77614,72912,198226,325556,321496,328300,362562,353584,322606,269254,103487,140211,71067,96448,112353,76758,47235,33263,4969833,335654,346455,333182,202107,147033,77442,70421,186096,335252,340599,357222,358799,366121,344898,303429,109865,158484,85321,107714,137588,102460,80139,83552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Hawaii",2010,1363621,684087,44748,42987,42198,27085,19065,11947,11685,28919,49070,44436,45463,44456,48219,48061,44378,18958,24531,14224,15277,19974,16678,10811,10917,679534,41945,39351,41323,24024,15881,8267,10375,26893,44939,42505,41018,45377,48813,49350,47456,19669,22103,12886,17648,22906,19424,17583,19798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Idaho",2010,1571450,787506,62904,59747,62547,36015,23742,10822,10555,33422,53862,51292,46436,51623,51916,52285,47647,18156,23895,12629,16864,24402,15041,12207,9497,783944,57804,60381,56859,32703,23294,10430,10809,31587,52204,52082,45166,50146,51160,52465,48868,18490,23295,14019,18334,24356,17982,14805,16705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Illinois",2010,12843166,6294434,424695,434562,457213,281644,190041,96175,93806,257780,453760,433533,424386,434972,461428,456756,395342,136699,182669,95003,131450,164469,122834,94168,71049,6548732,408236,424714,425979,268887,186499,91068,85026,251079,452964,434419,418260,449806,472795,474711,424702,146103,197635,107112,153964,202929,160321,140398,171125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Kentucky",2010,4346266,2140493,143615,143663,151195,89894,65768,30375,29677,89215,141972,139897,145351,146082,157977,155477,141473,48988,71124,36267,47871,68079,45968,29985,20580,2205773,136140,136835,138634,81360,61584,28686,29174,87143,139911,141803,137378,149266,163021,163193,152131,53194,75549,39542,58916,75823,59290,47851,49349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Indiana",2010,6490621,3197124,222896,229852,230423,141701,101809,51135,52909,127187,210111,207572,203550,214701,234608,234641,208044,71446,96113,48979,70768,90942,66409,49524,31804,3293497,210419,223271,215739,131814,96814,51300,48868,124686,207566,203267,204652,216128,239194,237797,214080,76885,106452,58245,77419,108490,87190,74569,78652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Iowa",2010,3049883,1505879,100817,99430,106123,62498,50757,21287,21799,62733,100234,94603,87372,97986,107603,112081,100412,35304,51792,23579,34052,48233,34609,28400,24175,1544004,98848,99992,94552,62414,45384,26214,21976,56274,96654,91531,89517,91421,107624,111868,99954,38746,51260,29087,37704,52398,47751,41480,51355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Kansas",2010,2859169,1417134,103828,107820,99384,61545,46016,22266,22056,59076,99682,90193,84628,90643,100501,101760,88870,30292,45100,21621,30311,39090,27703,23459,21290,1442035,101272,100470,94840,57667,42663,20564,20328,58693,94891,87730,85528,88045,103405,102256,90887,31162,46073,24480,32611,45109,39339,34550,39472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Louisiana",2010,4544228,2227014,159272,156672,159514,97921,69588,37044,34927,102176,160537,149015,143403,141474,156015,160990,141392,49689,69313,35756,49076,60217,43081,29123,20819,2317214,154736,155140,145848,88949,68354,34412,35333,98435,165783,147249,140890,147924,166761,165323,156002,53555,71003,40401,53892,74504,58582,48032,46106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Maine",2010,1327567,648889,35495,38653,40267,26451,18717,9000,8908,22903,36552,34275,40083,44578,52596,53737,48511,19230,26347,13979,17534,22352,17175,12916,8630,678678,33075,35837,39485,24388,17290,9339,8377,22368,36647,37083,39060,48098,54256,56408,50000,20230,28481,13083,20137,25699,20983,19187,19167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maryland",2010,5785982,2799597,188259,185224,193952,123086,87230,42024,39904,116206,195217,180144,180511,202548,220708,212814,178769,66515,85598,45674,61193,71682,55414,36378,30547,2986385,176669,185529,182166,116887,81244,37477,40565,116086,200282,191641,194077,217484,238405,227986,197974,73706,98843,53791,66285,91173,72164,60093,65858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Massachusetts",2010,6557254,3170167,186659,198952,205335,132534,101246,51163,48671,138387,218733,198344,202528,229957,251810,241297,202564,76248,107404,51735,70521,87450,70383,56577,41669,3387087,179676,193722,193921,126322,101955,52314,52456,135043,222321,205150,210052,245796,262436,255620,218623,85999,117900,57548,81814,109705,93317,83004,102393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
